name,elat,pl_radj,pl_bmassj,pl_eqt,pl_orbincl,pl_orbeccen,pl_orbsmax,pl_orbper,st_rad,st_mass,st_teff,sy_dist,st_met,pl_trandur,ra,dec,logg,hostname,sy_jmag,sy_kmag,u1,u2,u1_std,u2_std
TOI-2010 b,73.05561,1.054,1.286,400,89.903,0.212,0.5516,141.834025,1.08,1.11,5929,109.19,0.168,8.681,292.1669417,53.4873694,4.416543095115891,TOI-2010,8.656,8.281,0.30923237000746384,0.17497149292526543,0.004598072,0.000354029
PH1 b,59.07937,0.551,0.531,481,90.05,0.0702,0.652,138.317,1.73,1.53,6407,1033.16,0.21,13.433771069465363,298.2150641,39.9550863,4.1466668518631415,PH1,12.714,12.395,0.27106139782107197,0.18107288730965881,0.010093367904226262,0.002231104
KOI-1783.01,67.9572,0.79,0.22339,nan,89.441,0,,134.4628,1.14,1.08,5922,865.73,0.11,5.874,289.3414629,46.988155,4.357681680117138,KOI-1783,12.917,12.621,0.30963460683997107,0.17443199273993681,0.004994493,0.000278098
Kepler-820 b,60.2027,0.734,,554,89.72,0,0.5829,127.8334997,2.17,1.61,6505,1387.2,0.36,10.914,291.0201523,39.2206091,3.971974035637924,Kepler-820,12.841,12.53,0.26796499127450335,0.1808138131634354,0.008985484,0.003666695
Kepler-289 c,62.00227,1,,394,89.95,0,0.4913,125.8654019,1.11,1,5933,704.438,-0.06,9.0191,297.4653351,42.8828517,4.347421669729818,Kepler-289,12.861,12.508,0.30794113802484546,0.17533075031593234,0.012183724,0.002925711
Kepler-539 b,60.58722,0.747,0.97,388,89.845,0.39,0.4988,125.63243,0.95,1.05,5820,307.318,-0.046,8.813135932087626,299.1224639,41.8667953,4.503809715795376,Kepler-539,11.294,10.915,0.3174750848218454,0.17533135036297695,0.005888424,0.000693357
Kepler-196 d,64.16811,0.237,,297,89.4,0,0.4484,122.0804953,0.77,0.81,5132,451.312,-0.06,4.054,284.9685077,42.0791214,4.573571195836819,Kepler-196,12.752,12.235,0.3865205746260699,0.1554870354652974,0.011781135017566096,0.005140848
HD 80606 b,33.29549,1.003,4.16,371.08299312143424,89.232,0.93226,0.4565,111.4367,1.04,1.02,5574,66.4711,0.348,,140.6569501,50.6037764,4.41260112,HD 80606,7.702,7.316,0.3387287184527627,0.17062073823452484,0.006989127,0.001619414
HD 114082 b,-47.59295,1,8,500.9794810307589,90,0.395,0.5109,109.75,1.49,1.47,6651,95.3906,0,12.155635229178769,197.3171237,-60.3084347,4.259012425226762,HD 114082,7.403,7.163,0.24803602930267415,0.18701809495252583,0.002529992,0.000926674
TOI-199 b,-82.00233,0.81,0.17,321.80197976241425,90,0.09,0.4254,104.854,0.82,0.94,5255,102.27,0.22,7.909473397239283,80.1058735,-59.8954326,4.583567776135399,TOI-199,9.329001,8.814,0.3742420912298255,0.15997665808081132,0.001230302,0.000350164
NGTS-30 b,-24.93582,0.928,0.96,500,89.483,0.294,0.408,98.29838,0.91,0.94,5455,238.377,-0.03,6.13,173.714867,-24.6054801,4.493112696260645,NGTS-30,10.943,10.501,0.35103500970916357,0.16879023058111275,0.006548011,0.002397597
TOI-2134 c,62.49035,0.649,0.1318,306,89.49,0.67,0.371,95.5,0.71,0.74,4580,22.6202,0.12,5.267,271.9355015,39.0729269,4.6047826495959585,TOI-2134,6.776,6.091,0.4328503639385024,0.13248021157066478,0.003849616,0.001906925
CoRoT-9 b,29.18378,1.066,0.84,420,89.9,0.133,0.4021,95.272656,0.96,0.96,5625,412.98,-0.01,8.268,280.7866461,6.2040783,4.455796394263565,CoRoT-9,12.175,11.688,0.33283994939243583,0.17247463043005387,0.006579352,0.001548804
TOI-1338 b,-82.91506,0.611,0.0685,453.39830982875907,89.37,0.088,0.4607,95.174,1.33,1.13,6050,399.017,0.01,6.370356689420181,92.1330955,-59.5409853,4.243442788852382,TOI-1338 A,10.95,10.635,0.3007736370447486,0.17488429872095115,0.007262002,0.00196672
Kepler-396 c,67.90919,0.401,,390,89.86,0,0.378,88.5122014,0.94,0.92,5593,223.757,0.02,6.8214,296.1328135,48.9773095,4.455599747449291,Kepler-396,10.672,10.285,0.3388617867076915,0.17130699751953202,0.009909515,0.002761544
Kepler-169 f,62.85779,0.254,,321,89.15,0,0.3579,87.0912594,0.76,0.81,5001,406.529,0.04,7,285.9999204,40.9193822,4.584925461620201,Kepler-169,12.729,12.186,0.40330042990123965,0.1491710449941135,0.004431389,0.00283749
TOI-813 b,-80.53166,0.599,,610,89.64,0,0.423,83.8911,1.94,1.32,5907,263.145,0.1,13.51555696171363,72.6940102,-60.9054608,3.983038098648531,TOI-813,9.326,9.029,0.31508303190093967,0.17057510399522335,0.010015799427656413,0.002033265
Kepler-1667 b,70.24277,0.266,,655,89.59,0,0.4256,83.5781976,2.56,1.47,6056,626.819,0.26,7.2487,283.5329505,48.0943604,3.7889050314276105,Kepler-1667,12.429,12.119,0.312062837,0.17173832900409894,0.035058632,0.016817696270235036
TOI-4600 b,84.83213,0.607,3.02,347,89.76,0.25,0.349,82.6869,0.81,0.89,5170,216.056,0.16,7.54,258.4503674,64.5661727,4.5704875961907465,TOI-4600,11.075,10.571,0.38136527034506956,0.157508932,0.010933083715499713,0.004156313
TIC 279401253 b,-34.22494,1,6.14,444.8744946139258,89.59,0.448,0.369,76.8,1.06,1.13,5951,285.584,0.2,7.502981589176913,57.6572277,-15.0262251,4.440534340257012,TIC 279401253,10.715,10.345,0.30851683095666493,0.17504723002950073,0.004572186,0.000212208
TOI-5542 b,-39.94757,1.009,1.32,441,89.643,0.018,0.332,75.12375,1.06,0.89,5700,348.849,-0.21,8.644365743533825,302.7984228,-61.1354659,4.336845903418506,TOI-5542,11.266,10.897,0.3297723655647761,0.17152679948507374,0.007791634,0.001750816
Kepler-951 b,59.81292,0.455,,340,89.96,0,0.3091,71.52543938,0.78,0.77,4855,382.509,0.12,5.9189,287.7375794,38.1146488,4.540369147094655,Kepler-951,12.92,12.251,0.41603378215630754,0.13721782039952474,0.005391662,0.004750927
Kepler-419 b,70.06361,1.116,,613,89.99,0,0.371,69.72646639,1.73,1.4,6430,1011.36,0.2,3.7177,295.4179125,51.1847629,4.108103457,Kepler-419,12.088,11.859,0.2678932216641397,0.18233819734567952,0.010077915939855879,0.005158837
TOI-2447 b,-53.5329,0.857,0.393,414,,0.17,0.347,69.33684,1.01,1.03,5730,148.987,0.18,7.16,70.9975864,-31.9066369,4.442262104443021,TOI-2447,9.485,9.12,0.32576830171787124,0.17358127451189356,0.006492258,0.001154461
TOI-1859 b,85.28797,0.87,1,561.8495854497525,88.64,0.57,0.337,63.48347,1.36,1.29,6341,224.385,0.12,,279.8317644,69.5228726,4.281579520861947,TOI-1859,9.479,9.243,0.26750317366416093,0.1840906030496361,0.006052099,0.00235574
Kepler-1633 b,66.19967,0.234,,925,88.51,0,0.3875,62.134919,4.91,2.01,5889,1114.91,0.28,8.711,288.5151733,44.9232545,3.3591007004776854,Kepler-1633,12.447,12.109,0.2673459707635815,0.13730580840221315,0.1939419701368616,0.098406748
TOI-2589 b,-59.00099,1.08,3.5,592,89.17,0.522,0.3,61.6277,1.07,0.93,5579,200.273,0.12,5.2703041263200205,107.4881501,-37.230948,4.347783020486649,TOI-2589,10.071,9.632,0.3384874279988427,0.1696447584758288,0.007203079,0.00172694
Kepler-1929 b,65.47907,0.274,,566,90,0,0.2987,59.3627946,1.47,1.01,5786,508.201,-0.02,13.972,299.5833362,47.4481244,4.107754331589423,Kepler-1929,10.836,10.453,0.3218915004459816,0.17063637283081934,0.009049715,0.002778681
TOI-4127 b,49.35396,1.096,2.3,605,89.3,0.7471,0.3081,56.39879,1.29,1.23,6096,319.632,0.14,7.449787349465602,105.4045516,72.4149297,4.306793318144034,TOI-4127,10.538,10.245,0.2931620780619047,0.17776576193049037,0.014890710022777013,0.004400208
